Title,Platform,Year,Genre,Publisher,Global_Sales,ImageURL,Video URL
Wii Sports,Wii,2006,Sports,Nintendo,82.90,images/wii-sports.jpg,https://www.youtube.com/watch?v=zqaPFAZS1K8
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24,images/Super_Mario_Bros.png,https://www.youtube.com/watch?v=PAxkBaUyMJ0
Mario Kart Wii,Wii,2008,Racing,Nintendo,37.32,images/mario-kart-wii.jpg,https://www.youtube.com/watch?v=MKHLzFGA8o8
Wii Sports Resort,Wii,2009,Sports,Nintendo,33.13,images/wii-sports-resort.jpg,https://www.youtube.com/watch?v=efhO_LYH6Pc
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,31.37,images/pokemon-red-blue.jpg,https://www.youtube.com/watch?v=WP4R-wVeT9s
Tetris,GB,1989,Puzzle,Nintendo,30.26,images/tetris.jpg,https://www.youtube.com/watch?v=E-ej_8XBwmI
New Super Mario Bros.,DS,2006,Platform,Nintendo,30.01,images/new-super-mario-bros.jpg,https://www.youtube.com/watch?v=Zy41U69D6Lc
Wii Play,Wii,2006,Misc,Nintendo,29.02,images/wii-play.jpg,https://www.youtube.com/watch?v=lsDDNfnxy4w
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.62,images/new-super-mario-bros-wii.jpg,https://www.youtube.com/watch?v=yzv-Q1qmTBU
Duck Hunt,NES,1984,Shooter,Nintendo,28.31,images/duck-hunt.jpg,https://www.youtube.com/watch?v=3ywHN7NKmOU
Nintendogs,DS,2005,Simulation,Nintendo,24.76,images/nintendogs.jpg,https://www.youtube.com/watch?v=xUBSCyFoWTw
Mario Kart DS,DS,2005,Racing,Nintendo,23.42,images/mario-kart-ds.jpg,https://www.youtube.com/watch?v=3Bx9WtQ5EMg
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,23.10,images/pokemon-gold-silver.png,https://www.youtube.com/watch?v=HK6Wsm_9x3I
Wii Fit,Wii,2007,Sports,Nintendo,22.72,images/wii-fit.jpg,https://www.youtube.com/watch?v=iM82yuZRMWo&pp=ygUPd2lpIGZpdCB0cmFpbGVy
Wii Fit Plus,Wii,2009,Sports,Nintendo,22.00,images/wii-fit-plus.jpg,https://www.youtube.com/watch?v=AdPErTo5FKc&pp=ygUUd2lpIGZpdCBwbHVzIHRyYWlsZXI%3D
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.82,images/kinect-adventures.jpg,https://www.youtube.com/watch?v=nee86i_vInE&pp=ygUZa2luZWN0IGFkdmVudHVyZXMgdHJhaWxlctIHCQl-CQGHKiGM7w%3D%3D
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.40,images/gta-v.png,https://www.youtube.com/watch?v=QkkoHAzjnUs&pp=ygURcHMzIGd0YSB2IHRyYWlsZXI%3D
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,images/gta-san-andreas.jpg,https://www.youtube.com/watch?v=2NNSNTYR12M
Super Mario World,SNES,1990,Platform,Nintendo,20.61,images/super-mario-world.png,https://www.youtube.com/watch?v=oWyMk-2aH9E&pp=ygUec3VwZXIgbWFyaW8gd29ybGQgdHJhaWxlciBzbmVz
Brain Age,DS,2005,Misc,Nintendo,20.15,images/brain-age.jpg,https://www.youtube.com/watch?v=FbJMTtCV0Ds&pp=ygURYnJhaW4gYWdlIHRyYWlsZXI%3D
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,18.36,images/pokemon-diamond-pearl.jpg,https://www.youtube.com/watch?v=CryM43M1lpg&pp=ygUhcG9rZW1vbiBkaWFtb25kIGFuZCBwZWFybCB0cmFpbGVy
Super Mario Land,GB,1989,Platform,Nintendo,18.14,images/super-mario-land.png,https://www.youtube.com/watch?v=Tvysldm_DPw&pp=ygUYc3VwZXIgbWFyaW8gbGFuZCB0cmFpbGVy
Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28,images/super-mario-bros-3.png,https://www.youtube.com/watch?v=HU80R7jGanE&pp=ygUac3VwZXIgbWFyaW8gYnJvcyAzIHRyYWlsZXI%3D
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,images/gta-vice-city.jpg,https://www.youtube.com/watch?v=m8oQllwqw_I
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,16.12,images/pokemon-ruby-sapphire.jpg,https://www.youtube.com/watch?v=br0ErE0BGU0&pp=ygUkcG9rZW1vbiBydWJ5IGFuZCBzYXBwaGlyZSBjb21tZXJjaWFs
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,15.62,images/pokemon-black-white.jpg,https://www.youtube.com/watch?v=NCZ9wBJZlWY&pp=ygUicG9rZW1vbiBibGFjayBhbmQgd2hpcmUgY29tbWVyY2lhbA%3D%3D
Brain Age 2,DS,2005,Puzzle,Nintendo,15.30,images/brain-age-2.jpg,https://www.youtube.com/watch?v=R1HVdNntBJc&pp=ygUTYnJhaW4gYWdlIDIgdHJhaWxlcg%3D%3D
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,images/gran-turismo-3.jpg,https://www.youtube.com/watch?v=3n1WTytK1Dw&pp=ygUWZ3JhbiB0dXJpc21vIDMgdHJhaWxlcg%3D%3D
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.76,images/cod-mw3.png,https://www.youtube.com/watch?v=coiTJbr9m04&pp=ygULbXczIHRyYWlsZXI%3D
Minecraft,PC,2011,Adventure,Microsoft Game Studios,33.00,images/minecraft.jpg,https://www.youtube.com/watch?v=MmB9b5njVbA&pp=ygURbWluZWNyYWZ0IHRyYWlsZXI%3D
